smiles,ChEMBL_ID,activity_IC50,binding_score
OC(=O)c1ccc(cc1)-n1cc(C(=O)c2c(Cl)cccc2C(F)(F)F)c2cccnc12,CHEMBL4519185,,-11.97705
OC(=O)c1ccc(c(F)c1)-n1cc(C(=O)c2c(Cl)cccc2C(F)(F)F)c2cccnc12,CHEMBL4556521,50000.0,-12.15111
CCN(CC)CCOC(=O)c1ccc(N)cc1,CHEMBL569,,-7.1692
COc1cc2CNCc2cc1-n1cnc2ccc(cc12)-c1ccnc2[nH]ccc12,CHEMBL4213984,24000.0,-10.29191
Cc1cccc(Cl)c1C(=O)c1cn(-c2ccc(cc2F)C(O)=O)c2ccccc12,CHEMBL4583641,,-12.14641
C(CN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12)CN1CCNCC1,CHEMBL4161613,20000.0,-10.9744
C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12)CN1CCN(CC1)C1CC1,CHEMBL4167654,6040.0,-11.54856
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,CHEMBL726,,-10.76648
OC(Cc1cccnc1)(P(O)(O)=O)P(O)(O)=O,CHEMBL923,,-7.81697
COc1cc(OC)cc(\\C=C\\C(=O)c2ccc[nH]2)c1,CHEMBL4086703,15000.0,-8.22213
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2[nH]ncc2c1,CHEMBL2041173,50000.0,-5.99149
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(cc1)-c1nncn1C)C(C)(C)C,CHEMBL2425155,10000.0,-7.74164
Nc1cc(CN2CCC(CC2)C(=O)N2CCC(CC2)n2c3ccc(F)cc3n(-c3ccccn3)c2=O)ccn1,CHEMBL2437431,30000.0,-11.03877
Nc1cc(CN2CCC(CC2)C(=O)N2CCC(CC2)n2c3ccccc3n(CCN3CCOCC3)c2=O)ccn1,CHEMBL2437421,30000.0,-6.89648
N[C@@H](Cn1ccc(=O)c(O)c1)C(O)=O,CHEMBL245416,,-6.97597
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,CHEMBL417,,-6.38128
CCc1nc(Oc2ccc(cc2)C(O)=O)ccc1CN1CCC(CC1)N1[C@@H](CN(C2CCOCC2)C1=O)c1ccccc1,CHEMBL2435856,73000.0,-8.19182
CCc1ccc(cc1)-c1ccc(s1)C(=O)N(C)[C@H]1CCN(C1)C(=O)N1CC[C@H](C1)NC1CCOCC1,CHEMBL217300,5011.87,-9.29939
CN1C(=O)COc2c(F)cc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc12,CHEMBL247428,19000.0,-10.07172
CN(C[C@H]1Cc2c(CN1)cccc2N1CCNCC1)[C@H]1CCCc2cccnc12,CHEMBL4172669,20000.0,-11.75723
CCN(C[C@H]1Cc2c(CN1)cccc2N1CCNCC1)[C@H]1CCCc2cccnc12,CHEMBL4169280,20000.0,-11.85029
OCCN(C[C@H]1Cc2c(CN1)cccc2N1CCNCC1)[C@H]1CCCc2cccnc12,CHEMBL4172898,20000.0,-11.30915
Cc1ccccc1\\N=C\\NO,CHEMBL103651,100000.0,-6.85536
CC1CN(CCN1)c1cc2n(cc(C(O)=O)c(=O)c2c(C)c1F)C1CC1,CHEMBL583,,-9.79607
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,CHEMBL460499,5000.0,-8.50394
CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,CHEMBL4,,-9.45241
[Cl-].C[n+]1ccccc1\\C=N\\O,CHEMBL748,,-5.74679
Clc1ccc(cc1)C(=O)NCCN1CCOCC1,CHEMBL86304,,-8.64427
CCOc1cc2nccc(Oc3cnc(CC(=O)Nc4n[nH]c(CC)c4C)c(OC)c3)c2cc1OC,CHEMBL2023802,8600.0,-7.70304
Clc1ccc(cc1Cl)[C@]1(COC2CCC2)[C@H]2CNC[C@@H]12,CHEMBL590472,10000.0,-8.83349
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,CHEMBL1294,118.0,-9.9075
C[C@@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(cc(c1)C(C)=O)C(C)=O,CHEMBL404202,3500.0,-10.71751
CN(C)CC(=O)N1CC[C@@H](NC(=O)Nc2nc(C)c(s2)C(C)=O)[C@H](CN2CCC[C@@H](Cc3ccc(F)cc3)C2)C1,CHEMBL401159,5100.0,-7.56691
CS(=O)(=O)Nc1nnc2cc(COc3cc(Cl)cc(Cl)c3)c(cn12)C1CC1,CHEMBL4285790,10000.0,-9.74881
COc1c(oc2c3occc3ccc2c1=O)-c1ccccc1,CHEMBL4282750,10000.0,-9.80733
CCn1cncc1-c1c[nH]c2ccc(cc12)C(N)=O,CHEMBL4469847,7470.0,-8.64991
OC(=O)c1ccc(cc1)-n1cc(C(=O)c2c(F)cccc2F)c2ccccc12,CHEMBL4576182,,-11.82388
C1CC(c2nc(Nc3ccc(cc3)-c3ccnnc3)sc2C1)c1ccccc1,CHEMBL1915755,500.0,-11.59853
C[C@H](COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C)OC(=O)[C@@H](C)N,CHEMBL408444,24000.0,-10.63303
Cc1c(F)cc(cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O)C(=O)NC1CC1,CHEMBL1945721,27000.0,-9.18915
CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C#CC1CCN(C)CC1,CHEMBL3672842,2950.0,-7.93968
CN1C(=O)OC(C)(C)C1=O,CHEMBL695,,-5.71967
Cc1cn(cn1)-c1ccc(Nc2nc3C(CCCc3s2)c2ccccc2)cc1O,CHEMBL1915570,500.0,-11.315
OP(O)(O)=O.CCN1CCN(CC1)c1ccc(Nc2cc(ncn2)N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)cc1,CHEMBL1834657,10000.0,-6.42193
