,smiles,ChEMBL_ID,activity_IC50,binding_score
133,Fc1ccc(cc1)C(=O)N1CCN(CC1)c1nccc(n1)C(C#N)c1ccccn1,CHEMBL3421982,3.6989700043360187,-10.53219
134,Cc1cccc(n1)-c1nnc2CN(CCn12)C(=O)c1ccc(F)cc1,CHEMBL3422000,5.0,-9.70111
135,Cc1nc(CNC(=O)c2ccc(cc2)-c2cc(cc(F)c2C)C(=O)NC2CC2)cs1,CHEMBL1784169,5.0,-9.48751
136,Cc1ccc2c(cccc2n1)N1CCN(CCc2cccc(c2)N2CCNC2=O)CC1,CHEMBL1631540,4.778151250383644,-9.69051
137,COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,CHEMBL1428,3.0,-7.6424
138,C[C@H]([C@@H](c1ccc(Nc2nc3ccccc3s2)cc1)n1ccnc1)N(C)C,CHEMBL517438,4.041392685158225,-9.00626
139,CNC[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc2C1,CHEMBL1642906,4.3979400086720375,-8.76843
140,CCOc1ccc(NC(=O)c2ccc(cc2)-n2cnnn2)cc1,CHEMBL271326,4.477121254719663,-8.08371
141,Cc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CC1,CHEMBL478649,3.59999981394342,-9.07409
142,Cc1cc(C)nc(n1)N1C[C@@H]2CN(C[C@@H]2C1)C(=O)c1c(F)cccc1-n1nccn1,CHEMBL3586436,4.0,-10.18356
143,Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1C(F)(F)F,CHEMBL14460,4.361727836017593,-10.58629
144,CCN(CC(O)(CNC(=O)c1cnn(c1N)-c1ccc(F)cc1)C(F)(F)F)C(=O)c1ncccc1Cl,CHEMBL520276,4.146128035678238,-9.41193
148,COc1ncccc1CNc1ccc(Cc2c[nH]c3ncccc23)c(F)n1,CHEMBL3673962,4.0,-9.08905
149,CC(C)[C@@](O)(c1c[nH]cn1)c1ccc2c3CN(C)C(=O)c3ccc2c1,CHEMBL1682904,3.4771212547196626,-9.23026
150,Fc1ccccc1S(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)C#N)c1F,CHEMBL3941703,4.0,-10.19908
152,Cc1ccc2c(cccc2n1)N1CCN(CCc2cccc-3c2OCc2nccn-32)CC1,CHEMBL1242904,3.6020599913279625,-10.75162
153,Cc1cc(cc2[nH]c(nc12)-c1c(NCC(O)c2cccc(Cl)c2)cc[nH]c1=O)-n1ccnc1,CHEMBL231306,1.6020599913279625,-9.8582
154,Cc1cc(cc2[nH]c(nc12)-c1c(N[C@H](CO)Cc2ccccc2)cc[nH]c1=O)-n1ccnc1,CHEMBL230204,1.6020599913279625,-10.53535
155,CN[C@@H](C)C(=O)Nc1ccc(-c2c(nc3cc(C)ccn23)-c2cccnc2OC)c(n1)C#Cc1ccc2c(C)nccc2c1,CHEMBL3895473,4.57978359661681,-10.56752
156,CCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(C)cc1,CHEMBL121040,4.301029995663981,-9.12136
159,Cc1nc(C(O)C(F)(F)F)n(n1)-c1cc(nc(C)n1)N1CC(C1)c1nc2ccccc2n1C,CHEMBL3915808,4.698970004336019,-11.00271
162,C[C@H](N1CCC(CC2CC2)(CC(C)(C)O)OC1=O)c1ccc(cc1)-c1ccn(C2CC2)c(=O)c1,CHEMBL3664691,4.45484486000851,-9.66106
163,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccccc3)C2)n1C,CHEMBL3983937,4.698970004336019,-9.50175
164,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(cc1)N1CCC(CC1)c1ccc(F)cc1,CHEMBL3298906,4.6020599913279625,-11.05619
165,CC(C)OC(=O)N1CCC(CCCCCOc2ccc(cc2)C(=O)N(C)C)CC1,CHEMBL4215560,4.0,-8.0672
166,O=c1cc(OCc2ccccc2)ccn1-c1ccc2n(CC3=NCCN3)ncc2c1,CHEMBL1289053,4.0,-10.18629
167,CN(C)C(=O)c1ccc(OCCCCC[C@H]2CC[C@@]3(COC(C)(C)C3)CC2)cc1,CHEMBL4205617,4.0,-8.59024
168,COc1cccc(CNC(=O)c2ccc(cc2)-c2ccncc2)c1,CHEMBL2006299,2.0791812460476247,-8.94049
169,CNC(=O)c1c(oc2cc(N(c3ccc(B(O)O)c(Cl)c3)S(C)(=O)=O)c(cc12)C1CC1)-c1ccc(F)cc1,CHEMBL4528447,3.4149733479708178,-10.39739
170,C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccn(C)c(=O)c1,CHEMBL3664717,4.698970004336019,-10.33343
171,CC(c1nc(c[nH]1)-n1ccc(NC(=O)c2cscn2)cc1=O)c1cccc(c1)C(F)(F)F,CHEMBL3810245,1.4913616938342726,-9.80032
172,COC(=O)N1CC[C@@H](C1)N(Cc1ccccc1F)c1ccc(C#N)c(Cl)c1,CHEMBL592289,3.146128035678238,-8.29401
