smiles,ChEMBL_ID,activity_IC50,binding_score
CC(=C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]33C(=O)O[C@H]2[C@]13C,CHEMBL47244,,-8.24938
CCn1ncc2C[C@@H](CCc12)Nc1nc2c(cccn2n1)-c1ccc(F)cc1C,CHEMBL4127978,25000.0,-10.12749
Nc1noc2ccc(cc12)-c1cc(Cl)ccc1Oc1cc(F)c(cc1F)S(=O)(=O)Nc1ncccn1,CHEMBL3804898,570.0,-11.51394
Fc1cc(NCCCC2CCOC2)c(Cl)cc1S(=O)(=O)Nc1nccs1,CHEMBL4073353,20000.0,-7.80604
[Cl-].[Cl-].C[n+]1ccc(cc1)-c1cc[n+](C)cc1,CHEMBL458019,,-5.67548
Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12,CHEMBL57,,-8.12688
Cc1nc(no1)-c1ccc(OCC2CN(C2)c2ccc(C)nn2)cc1,CHEMBL1835918,50118.72,-8.97561
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,CHEMBL193482,,-9.65341
Cn1c2nc(Cl)[nH]c2c(=O)n(C)c1=O.CN(C)CCOC(c1ccccc1)c1ccccc1,CHEMBL1200406,,-7.33142
CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O,CHEMBL557555,,-6.92992
